"filename", "language", "JSON", "TypeScript", "CSS", "TypeScript React", "Markdown", "HTML", "comment", "blank", "total"
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\DevicesTabComponent.tsx", "TypeScript React", 0, 0, 0, 30, 0, 0, 0, 11, 41
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\EDevicesTabState.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 9
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Conveyor\AddConveyorTabComponent.tsx", "TypeScript React", 0, 0, 0, 168, 0, 0, 0, 26, 194
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Conveyor\ModifyConveyorTabComponent.tsx", "TypeScript React", 0, 0, 0, 193, 0, 0, 0, 28, 221
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Conveyor\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Conveyor\types.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Pallet\AddPalletTabComponent.tsx", "TypeScript React", 0, 0, 0, 59, 0, 0, 0, 17, 76
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Pallet\ModifyPalletTabComponent.tsx", "TypeScript React", 0, 0, 0, 78, 0, 0, 0, 17, 95
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Pallet\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Pallet\types.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Sensor\AddSensorTabComponent.tsx", "TypeScript React", 0, 0, 0, 112, 0, 0, 0, 25, 137
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Sensor\ModifySensorTabComponent.tsx", "TypeScript React", 0, 0, 0, 135, 0, 0, 0, 24, 159
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Sensor\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Sensor\types.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\MainTab\MainTabComponent.tsx", "TypeScript React", 0, 0, 0, 41, 0, 0, 0, 6, 47
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\MenuBarComponent.tsx", "TypeScript React", 0, 0, 0, 32, 0, 0, 0, 4, 36
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\PLCTab\PlcTabComponent.tsx", "TypeScript React", 0, 0, 0, 207, 0, 0, 0, 18, 225
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\PLCTab\Types.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\PLCTab\styles.css", "CSS", 0, 0, 34, 0, 0, 0, 0, 7, 41
"d:\csharp\Faketory\faketory-app\src\States\devices\userConveyors\actions.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\csharp\Faketory\faketory-app\src\States\devices\userConveyors\reducers.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\csharp\Faketory\faketory-app\src\States\devices\userConveyors\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\csharp\Faketory\faketory-app\src\States\devices\userPallets\actions.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\csharp\Faketory\faketory-app\src\States\devices\userPallets\reducers.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\csharp\Faketory\faketory-app\src\States\devices\userPallets\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\csharp\Faketory\faketory-app\src\States\devices\userSensors\actions.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\csharp\Faketory\faketory-app\src\States\devices\userSensors\reducers.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
